Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
Cowboy Bebop,,1,COM,,,,,Sunrise,Bandai Visual ,1998,Spring,Adventure,Space,Original,https://myanimelist.net/anime/1/Cowboy_Bebop?q=Cowboy Bebop,,,,,,,
Dagashi Kashi,,6,,,720p,C,2016,,,2016,Winter,,,,,,,,,,,
Dance with Devils,,5,3,,,,,,,2015,Fall,,,,,,,,,,,
Darker Than Black,,1,COM,COM,,,,Bones ,Aniplex ,2007,Spring,Action,Superpowers,Original,https://myanimelist.net/anime/2025/Darker_than_Black__Kuro_no_Keiyakusha?q=Darker Than Black,,1-2,3,TRUE,,,
Darwin's Game,,1,1,COM,720p,B,2020,Nexus ,Aniplex ,2020,Winter,Action,Deathmatch,Manga,https://myanimelist.net/anime/38656/Darwins_Game?q=darwi,,,,,,,
Date A Live,,6,4,,,,,,,,,,,,,,,,,,,
Deadman Wonderland,,13,COM,,720p,,,Manglobe ,Kadokawa Shoten ,2011,Spring,Action,Deathmatch,Manga,https://myanimelist.net/anime/6880/Deadman_Wonderland?q=Deadman Wonderland,,OP1,,TRUE,ED1,COM,COM
Death Note,,1,movie 2,,720p,A,,Madhouse,VAP ,2006,Fall,Thriller,War,Manga,https://myanimelist.net/anime/1535/Death_Note,,,,,,COM,
Denpa Kyoushi,,5,2,,1080p,B-,,,,2016,Winter,,,,,,,,,,,
Devil's Line,,2,,,1080p,,,Platinum Vision ,,2018,Spring,Supernatural,Vampire,Manga,https://myanimelist.net/anime/35928,,,,,,,
Devilman: Crybaby,,5,5,,720p,,,Science SARU ,,2018,Winter,Action,Supernatural,Manga,https://myanimelist.net/anime/35120/Devilman__Crybaby,,,,,,,
"Diabolik Lovers More, Blood",,6,8,,,,,,,,,,,,,,,,,,,
Digimon Adventure - Tri,,2,19,,1080p,B,MULTIPLE,Toei Animation ,Bandai Visual ,2015,MULTIPLE,Adventure,SuperPet,Original,https://myanimelist.net/anime/25687/Digimon_Adventure_tri_1__Saikai?q=digi,,,,,,,
Digimon Tamers,,1,COM,,720p,,,Toei Animation ,Yomiko Advertising,2001,Spring,Adventure,Shounen,Original,https://myanimelist.net/anime/874/Digimon_Tamers?q=Digimon Adventure tamers,,,,,,,
Dimension W,,1,COM,,1080p,B,2016,,,2016,Winter,,,,,,,,,,,
Divine Gate,,5,7,,1080p,B-,2016,,,2016,Winter,,,,,,,,,,,
Dr. Stone,,1,1,COM,720p,B+,2019,TMS Entertainment ,TOHO animation,2019,Summer,Adventure,Post Apocalptic,Manga,https://myanimelist.net/anime/38691/Dr_Stone?q=dr stone,,,,,,,
Dragonball Super,,2,85,,1080p,B-,2018,Toei Animation ,Yomiko Advertising,2018,Spring,Action,Superpowers,Manga,https://myanimelist.net/anime/30694/Dragon_Ball_Super?q=Dragonball Super,,,,,,,
Dragonball Z Kai,,1,COM,,720p,,,Toei Animation ,,2009,Spring,Action,Superpowers,Manga,https://myanimelist.net/anime/6033/Dragon_Ball_Kai?q=Dragonball Z Kai,,,,,,,
Drifters,,1,COM,,1080p,B+,2016,Hoods Entertainment ,Hoods Entertainment ,2016,Fall,Fantasy,Parallel World,Manga,https://myanimelist.net/anime/31339/Drifters?q=Drifters,,,,,,,
Eden Of The East,,14,COM,,1080p,,,Production I.G ,Dentsu ,2009,Spring,Action,Mystery,Original,https://myanimelist.net/anime/5630/Higashi_no_Eden?q=Eden Of The East,,COM,,TRUE,,,
Eizouken ni wa Te wo Dasu na! ,,6,1,5,720p,B-,2020,Science SARU ,Warner Bros. Japan ,2020,Winter,Slice of Life,Highschool,Manga,https://myanimelist.net/anime/39792/Eizouken_ni_wa_Te_wo_Dasu_na?q=Eizouken ni wa Te wo Dasu na! ,,,,,,,
Elfen Lied ,,1,COM,,,,,Arms ,VAP ,2004,Summer,Action,Psychological,Manga,https://myanimelist.net/anime/226/Elfen_Lied?q=Elfen Lied ,,,,,,,
Fairy Tail,,2,,,,,,A1-Pics,TV Tokyo ,2014,Spring,Adventure,Shounen,Manga,https://myanimelist.net/anime/22043/Fairy_Tail_2014?q=Fairy Tail,,,,,,1-3,
Fate Zero,,1,COM,,1080p,A+,2016,Ufotable,,2011,Fall,Fantasy,,,,,,,,,,
Flip Flappers,,5,3,,,,,,,,,,,,,,,,,,,
Flying witch,,6,,,,,2016,J.C. Staff,,2016,Spring,,,,,,,,,,,
Fukka,,1,COM,,720p,C+,2017,Diomedea,,2017,Winter,Slice of Life,Romance,,,,,,,,,
Fullmetal Alchemist,,1,COM,,1080p,,,Bones ,Aniplex ,2003,Fall,Adventure,Classic,Manga,https://myanimelist.net/anime/121/Fullmetal_Alchemist,,,,,,,
Fullmetal Alchemist: Brotherhood,,1,COM,,1080p,,,Bones ,Aniplex ,2009,Spring,Adventure,Classic,Manga,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood,,,,,,,
Ga Rei Zero,,13,COM,,,,,,,,,,,,,,ED1,OP1,TRUE,,COM,COM
Gakkou Gurashi,,14,COM,,1080p,A-,2012,,,2012,Summer,,,,,,COM,,FALSE,,,
Gakusen Toshi Asterisk,,14,COM,,1080p,B-,2015,,,2015,Fall,,,,,,COM,,FALSE,,,
Gangsta,,14,COM,,1080p,B+,2015,,,2015,Summer,,,,,,COM,,TRUE,,,
Garo - The Crimson Moon,,6,1,,,,,,,,,,,,,,,,,,,
Garo: Vanishing Line,,5,15,,1080p,,2017,MAPPA ,,2017,Fall,Action,,Original,https://myanimelist.net/anime/36144/Garo__Vanishing_Line?q=Garo%3A Vanishing Line,,,,,,,
Gate,,5,COM,,1080p,B+,2015,,,2015,Summer,,,,,,1,,FALSE,,,
Ghost In The Shell,,3,,,,,,Production I.G ,,2002,,,,,,,,,,,,
Gintama,,2,3,,,,,,,,,,,,,,,,,,,
Girls Und Panzar,,14,COM,,,,,Actas ,,2012,Fall,Military,Loli,Original,https://myanimelist.net/anime/14131/Girls___Panzer?q=girls und,,COM,,TRUE,,,
Goblin Slayer,,1,COM,,720p,B+,2018,White Fox ,,2018,Fall,Action,Fantasy,Light Novel,https://myanimelist.net/anime/37349/Goblin_Slayer?q=Goblin Slayer,,,,,,,
God Eater,,1,,,1080p,A-,2015,,,2015,Summer,,,,,,1,,FALSE,,,
Golden Kamuy,,2,,,1080p,,,Geno Studio ,,2018,Spring,Action,,,https://myanimelist.net/anime/36028,,,,,,,
Grancrest Senki,,2,COM,,1080p,B+,2018,A1-Pics,,2018,Winter,Fantasy,,Light Novel,https://myanimelist.net/anime/34279/Grancrest_Senki/episode/1,,,,,,,
Great Teahcer Onisuka,,1,COM,,,,,Studio Pierrot ,,1999,Summer,Comedy,,Manga,,,,,,,,
Guilty Crown,,11,COM,COM,,,,Production I.G ,,2011,Fall,Superpower,,OVA,https://myanimelist.net/anime/10793/Guilty_Crown?q=Guilty Crown,COM,COM,,TRUE,,COM,
Hai to Gensou no Grimgar,Grimgar: Ashes and Illusions,14,COM,,1080p,B+,2016,A1-Pics,TOHO animation,2016,Winter,Fantasy,Isekai,Light Novel,https://myanimelist.net/anime/31859/Hai_to_Gensou_no_Grimgar?q=Hai to Gensou no Grimgar,,COM,,MIXED,,,
Haikyuu!!,,1,COM,13,,,,Production I.G ,Sentai Filmworks,2014,Spring,Sports,Vollyball,Manga,https://myanimelist.net/anime/20583/Haikyuu?q=ha,,,OP1,,,,
Hakata Tonkotsu Ramens,,5,6,,1080p,,,Satelight ,,2018,Winter,Action,,Light Novel,https://myanimelist.net/anime/35889/Hakata_Tonkotsu_Ramens,,,,,,,
Hanebado,,6,1,10,720p,C+,2018,LIDENFILMS ,Kodansha ,2018,Summer,Sports,Psychological,Manga,https://myanimelist.net/anime/37259/Hanebado?q=hane,,,,,,,
