Title,Alt Name,CODE,Season,Episode,Resolution,Rating,Watched,Creator,Producer,Year,Season,Genre,Subgenre,Source,link,Review,Clean,Unclean,Subbed,Left,Downloaded,Filtered
Rascal Does Not Dream of Bunny Girl Senpai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,1,COM,,720p,A-,2018,CloverWorks ,,2018,Fall,Drama,Romance,Light Novel,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai?q=Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,,,,,,,
Re:Zero kara Hajimeru Isekai Seikatsu,,1,1,COM,720p,B+,2016,White Fox ,TV Tokyo ,2016,Spring,Fantasy,Isekai,Light Novel,https://myanimelist.net/anime/31240/Re_Zero_kara_Hajimeru_Isekai_Seikatsu?q=Re%3AZero kara Hajimeru Isekai Seikatsu,,,,,,,
ReLIFE,,14,COM,,720p,B+,2016,TMS,Aniplex ,2016,Summer,Slice of Life,School,Web Manga,https://myanimelist.net/anime/30015/ReLIFE?q=ReLIFE,,OP,,,ED,,
Rise of the Shield Hero,,1,1,24,720p,B+,2019,Kinema Citrus ,Glovision ,2019,Winter,Adventure,Isekai,Light Novel,https://myanimelist.net/anime/35790/Tate_no_Yuusha_no_Nariagari,,,,,,,
Rokka No Yuusha,,1,COM,,1080p,B,2015,Passione ,Pony Canyon ,2015,Summer,Fantasy,,Light Novel,https://myanimelist.net/anime/28497/Rokka_no_Yuusha?q=Rokka No Yuusha,,,,,,,
Runway de Waratte,,1,1,10,720p,A-,2020,Ezόla ,Mainichi Broadcasting System ,2020,Winter,Drama,Competition,Manga,https://myanimelist.net/anime/40392/Runway_de_Waratte?q=runwa,,,,,,,
Rwby,,2,5,1,1080p,A,MULTIPLE,,,MULTIPLE,,,,,,,,,,,,
Saijaku Muhai no Bahamut,,6,,,1080p,C+,2016,,,2016,Winter,,,,,,,,,,,
Sakamoto Desu gan?,,5,,,720p,B,,Studio Deen,Kadokawa Shoten ,2016,Spring,Comedy,School,Manga,https://myanimelist.net/anime/32542/Sakamoto_Desu_ga,,,,,,,
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,14,COM,,1080p,B+,2015,TROYCA ,Lantis ,2015,Fall,mystery,,Novel,https://myanimelist.net/anime/30187/Sakurako-san_no_Ashimoto_ni_wa_Shitai_ga_Umatteiru?q=Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,,COM,,FALSE,,,
Samurai Champloo,,3,19,,,,,Manglobe ,Victor Entertainment ,2004,Spring,Adventure,Samurai,Original,https://myanimelist.net/anime/205/Samurai_Champloo?q=Samurai Champloo,,,,,,,
School Days,,1,COM,,,,,TNK ,Avex Entertainment ,2007,Summer,Harem,Psychological,Original,https://myanimelist.net/anime/2476/School_Days?q=School Days,,,,,,,
Schwarzesmarken,,6,7,,1080p,B-,2016,LIDENFILMS ,Sotsu ,2016,Winter,Military,,Light Novel,https://myanimelist.net/anime/30806/Schwarzesmarken?q=Schwarzesmarken,,,,,,,
Scrapped Princess,,1,COM,,,,2015,Bones ,Kadokawa Shoten ,2003,Spring,Adventure,,Light Novel,https://myanimelist.net/anime/167/Scrapped_Princess?q=Scrapped Princess,,,,,,,
Seisen Cerberus,,6,,,,,,,,,,,,,,,,,,,,
She and her cat: Everything flows,,6,,,720p,,,Liden Films,,2016,Spring,,,,,,,,,,,
Shigurui,,3,3,,,,,Madhouse,Geneon Universal Entertainment,2007,Summer,Samurai,,Manga,https://myanimelist.net/anime/2216/Shigurui?q=Shigurui,,,,,,,
Shimonetta,,5,,,,,2015,,,2015,Summer,,,,,,,,,,,
Shingeki! Kyojin Chuugakkou,,6,,,,,,,,,,,,,,,,,,,,
Shingeki no Bahamut - Genesis ,,,1,12,1080p,A-,2020,,,,,,,,,,,,,,,
Shokugeki no Souma,,2,3,10,1080p,B+,2017,J.C. Staff,,,MULTIPLE,Food Porn,,,https://myanimelist.net/anime/28171/Shokugeki_no_Souma?q=sho,,,,,,,
Shomin Sample,,6,,,,,,,,,,,,,,,,,,,,
Shoukoku no Altair,,5,6,,720p,B-,,MAPPA ,,2017,Summer,Adventure,Historic,,https://myanimelist.net/anime/34547/Shoukoku_no_Altair,,,,,,,
Shouwa Genroku Rakugo Shinjuu,,5,2,4,1080p,A,2016,,,2016,Winter,,,,,,,,,,,
Slasm Dunk,,4,20,,,,,Toei Animation ,TV Asahi ,1993,Fall,Sports,Basketball,Manga,https://myanimelist.net/anime/170/Slam_Dunk?q=slam,,,,,,,
Sonic X,,4,4,,,,,TMS,TV Tokyo ,2003,Spring,Action,,Game,https://myanimelist.net/anime/1816/Sonic_X?q=Sonic X,,,,,,,
Sora Ga Seiyuu,,5,,,480p,B-,2015,,,2015,Summer,,,,,,,,,,,
Soul Eater,,1,COM,,,,,Bones ,TV Tokyo ,2008,Spring,Fantasy,Shounen,Manga,https://myanimelist.net/anime/3588/Soul_Eater?q=soul ea,,"OP(1,2)",,FALSE,"ED(1,2)",,
Soul Eater Not,,1,COM,,,,,Bones ,TV Tokyo ,2014,Spring,Fantasy,Cute girls,Manga,https://myanimelist.net/anime/21507/Soul_Eater_NOT,,,,,,,
Sousei no Onmyouji,,5,,,,B-,2016,Pierrot,TV Tokyo ,2016,Spring,Action,Shounen,Manga,https://myanimelist.net/anime/32105/Sousei_no_Onmyouji?q=Sousei no Onmyouji,,,,,,,
SSSS Gridman,,6,2,,720p,C,2018,,,,,,,,,,,,,,,
Subete ga F ni Naru,,1,,,,,,A1-Pics,Aniplex ,2015,Fall,Thriller,Psychological,Novel,https://myanimelist.net/anime/28621/Subete_ga_F_ni_Naru?q=Subete ga F ni Naru,,,,,,,
Sword Art Online,,5,3,1,1080p,B-,,A1-Pics,Aniplex ,2012,Summer,Action,Isekai,Light Novel,https://myanimelist.net/anime/11757/Sword_Art_Online?q=Sword Art Online,,,,,,,
Sword Art Online - Alicization,,6,12,,720p,C-,2018,A1-Pics,Aniplex ,2018,Fall,Action,Isekai,Light Novel,https://myanimelist.net/anime/36474/Sword_Art_Online__Alicization?q=Sword Art Online - Alicization,,,,,,,
Sword Art Online Alternative - Gun Gale Online ,,1,,,,,2018,Studio 3Hz ,Aniplex ,2018,Spring,Action,Isekai,Light Novel,https://myanimelist.net/anime/36475/Sword_Art_Online_Alternative__Gun_Gale_Online?q=Sword Art Online Alternative - Gun Gale Online ,,,,,,,
Taboo Tattoo,,6,,,1080p,,,J.C. Staff,,2016,Summer,,,,,,,,,,,
Taimadou Gakuen 35 Shiken Shoutai,,6,,,1080p,,2015,,,2015,Fall,,,,,,COM,,,,,
Tales of Zestiria the X ,,1,COM,,1080p,,,Ufotable,Lantis ,2016,Summer,Fantasy,,Game,https://myanimelist.net/anime/30911/Tales_of_Zestiria_the_Cross?q=Tales of Zestiria the X ,,,,,,,
Tensei Shitara Slime Datta Ken,The time I Got Reincarnated as a Slime,1,COM,,720p,B-,2018,8-Bit,Lantis ,2018,Fall,Fantasy,Isekai,Manga,https://myanimelist.net/anime/37430/Tensei_shitara_Slime_Datta_Ken?q=Tensei Shitara Slime Datta Ken,,,,,,,
The Devil Is A Part Timer!,,14,COM,,,,2015,White Fox ,Sotsu ,2013,Spring,Comedy,,Light Novel,https://myanimelist.net/anime/15809/Hataraku_Maou-sama,,COM,,TRUE,,,
The Melancholy of Haruhi Suzumiya,,14,1,COM,720p,B,2017,Kyoto Ani.,Funimation ,2006,Spring,Thriller,Slice of Life,Light Novel,https://myanimelist.net/anime/849/Suzumiya_Haruhi_no_Yuuutsu?q=The Melancholy of Haruhi Suzumiya,,COM,,TRUE,,,
The Reflection,,1,COM,,720p,B,2017,Studio Deen ,,2017,Summer,Action,Superhero,Original,https://myanimelist.net/anime/34449/The_Reflection?q=reflect,,,,,,,
The World God Only Knows,,3,OVA ,,,,,Manglobe ,Geneon Universal Entertainment,2007,Fall,Harem,,Manga,https://myanimelist.net/anime/8525/Kami_nomi_zo_Shiru_Sekai?q=The World God Only Knows,,,,,,,
Time Travil shogo,,6,,,720p,,,,,2016,Summer,,,,,,,,,,,
Toji no Miko,,5,,,720p,,,Studio Gokumi ,,2018,Winter,Action,Superpowers,OVA,https://myanimelist.net/anime/35589/Toji_no_Miko,,,,,,,
Tokyo Majin Gakuen Kenpuchou ,,4,1,,,,,AIC Spirits ,ADV Films ,2007,Winter,,,Game,https://myanimelist.net/anime/1860/Tokyo_Majin_Gakuen_Kenpucho__Tou?q=Tokyo Majin Gakuen Kenpuchou ,,,,,,,
Toriko,,1,148,,1080p,,,Toei Animation ,Fuji TV ,2013,Spring,Adventure,Food,Manga,https://myanimelist.net/anime/10033/Toriko?q=Toriko,,,,,,,
Trigun,,14,COM,COM,,,,Madhouse,Victor Entertainment ,1998,Spring,Action,Classic,Manga,https://myanimelist.net/anime/6/Trigun?q=Trigun,,COM,,TRUE,,,
Tsurezure Children,,1,COM,,720p,B,2018,Studio Gokumi ,,2017,Summer,Slice of Life,Romance,Manga,https://myanimelist.net/anime/34902/Tsurezure_Children?q=Tsurezure Children,,,,,,,
Ushio To Tora,,1,COM,,720p,B-,,MAPPA / Studio Vlon,Sotsu ,2015,Summer,Shounen,,Manga,https://myanimelist.net/anime/29854/Ushio_to_Tora_TV?q=Ushio To Tora,,1,,FALSE,,,
Utawarerumono - Itsuwari No Kamen ,,1,COM,,1080p,B,2015,White Fox ,KlockWorx ,2015,Fall,Fantasy,,Visual Novel,https://myanimelist.net/anime/30901/Utawarerumono__Itsuwari_no_Kamen,,COM,,FALSE,,,
Vinland Saga,,1,1,COM,1080p,A,2019,Wit Studio ,Production I.G ,2019,Summer,Action,Historic,Manga,https://myanimelist.net/anime/37521/Vinland_Saga?q=Vinland,,,,,,,
Violet Evergarden,,1,COM,,1080p,A-,2018,Kyoto Ani.,,2018,Winter,Drama,Fantasy,Light Novel,https://myanimelist.net/anime/33352/Violet_Evergarden,,,,,,,
When Supernatural Battles Became Commonplace,Inou-Battle wa Nichijou-kei no Naka de,14,COM,,,C+,,Trigger,,2014,Fall,Slice of Life,School,Light Novel,https://myanimelist.net/anime/25159/Inou-Battle_wa_Nichijou-kei_no_Naka_de?q=when super,,COM,,,,,
You Lie in April,,1,COM,,,,,A1-Pics,Aniplex ,2014,Fall,Tragedy,Music,Manga,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso?q=You Lie in April,,,,,,,
Youjo Senki,,1,COM,,1080p,A,2017,NUT,,2017,Winter,Military,Isekai,Light Novel,https://myanimelist.net/anime/32615/Youjo_Senki?q=Youjo Senki,,,,,,,
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e ,,1,COM,,1080p,B,2017,Lerche ,,2017,Summer,Drama,School,,https://myanimelist.net/anime/35507/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e_TV?q=Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e ,,,,,,,
